Frame,Boundary,Phase,Speed,GammaFreq,GammaAmp,MasterFreq,PosX,PosY,PosZ,ThetaBeta,ThetaGamma,ThetaZeta,ThetaPsi,ThetaPhi
408,,0.009222,2.000000,7.955000,74.550000,7.955000,-0.748365,3.093623,6.661071,3.535418,76.769412,3.668586,14.774034,-35.697823
409,,0.010737,2.000000,7.955000,74.550000,7.955000,-0.750781,3.094267,6.662783,4.111254,74.069223,4.216965,14.176564,-34.658590
410,,0.012252,2.000000,7.955000,74.550000,7.955000,-0.753197,3.094911,6.664494,4.684808,71.001756,4.741171,13.497827,-33.478001
411,,0.013768,2.000000,7.955000,74.550000,7.955000,-0.755614,3.095555,6.666205,5.255763,67.584596,5.238198,12.741714,-32.162825
412,,0.015283,2.000000,7.955000,74.550000,7.955000,-0.758032,3.096198,6.667915,5.823802,63.837332,5.705197,11.912559,-30.720599
475,,0.110737,2.000000,7.955000,74.550000,7.955000,-0.911645,3.136645,6.773801,24.462613,64.637005,-5.611374,12.089502,-31.028373
476,,0.112252,2.000000,7.955000,74.550000,7.955000,-0.914103,3.137285,6.775452,24.368268,68.317815,-5.137951,12.903953,-32.445022
477,,0.113768,2.000000,7.955000,74.550000,7.955000,-0.916563,3.137926,6.777102,24.260402,71.664318,-4.635073,13.644432,-33.733004
478,,0.115283,2.000000,7.955000,74.550000,7.955000,-0.919023,3.138567,6.778752,24.139075,74.657330,-4.105626,14.306694,-34.884937
479,,0.116798,2.000000,7.955000,74.550000,7.955000,-0.921483,3.139208,6.780401,24.004354,77.279693,-3.552642,14.886943,-35.894217
480,,0.118313,2.000000,7.955000,74.550000,7.955000,-0.923944,3.139848,6.782048,23.856315,79.516374,-2.979294,15.381853,-36.755058
481,,0.119828,2.000000,7.955000,74.550000,7.955000,-0.926406,3.140489,6.783695,23.695040,81.354553,-2.388866,15.788585,-37.462526
482,,0.121343,2.000000,7.955000,74.550000,7.955000,-0.928868,3.141129,6.785341,23.520617,82.783690,-1.784744,16.104810,-38.012564
483,,0.122858,2.000000,7.955000,74.550000,7.955000,-0.931332,3.141770,6.786986,23.333144,83.795595,-1.170391,16.328714,-38.402020
484,,0.124374,2.000000,7.955000,74.550000,7.955000,-0.933795,3.142410,6.788630,23.132724,84.384466,-0.549329,16.459013,-38.628661
485,YES,0.000182,2.000000,8.360000,78.600000,8.360000,-0.936260,3.143050,6.790273,0.102649,104.543897,0.113577,19.992003,-44.986004
486,,0.001697,2.000000,8.360000,78.600000,8.360000,-0.938725,3.143691,6.791915,0.692782,88.288013,0.756380,16.927846,-39.474325
487,,0.003212,2.000000,8.360000,78.600000,8.360000,-0.941190,3.144332,6.793556,1.310984,87.483981,1.426893,16.753994,-39.171619
488,,0.004727,2.000000,8.360000,78.600000,8.360000,-0.943657,3.144973,6.795196,1.928413,86.189418,2.088373,16.474076,-38.684234
489,,0.006242,2.000000,8.360000,78.600000,8.360000,-0.946123,3.145613,6.796835,2.544706,84.412519,2.736632,16.089866,-38.015257
490,,0.007757,2.000000,8.360000,78.600000,8.360000,-0.948591,3.146254,6.798473,3.159501,82.164532,3.367566,15.603794,-37.168922
491,,0.009273,2.000000,8.360000,78.600000,8.360000,-0.951059,3.146895,6.800110,3.772435,79.459690,3.977180,15.018939,-36.150587
492,,0.010788,2.000000,8.360000,78.600000,8.360000,-0.953528,3.147535,6.801747,4.383147,76.315117,4.561617,14.339003,-34.966700
493,,0.012303,2.000000,8.360000,78.600000,8.360000,-0.955997,3.148175,6.803382,4.991278,72.750718,5.117175,13.568290,-33.624754
494,,0.013818,2.000000,8.360000,78.600000,8.360000,-0.958467,3.148816,6.805017,5.596469,68.789061,5.640337,12.711680,-32.133247
495,,0.015333,2.000000,8.360000,78.600000,8.360000,-0.960938,3.149456,6.806651,6.198364,64.455224,6.127791,11.774595,-30.501619
554,,0.104727,2.000000,8.360000,78.600000,8.360000,-1.107761,3.187233,6.901412,25.348003,65.759382,-5.989138,12.056587,-30.992616
555,,0.106242,2.000000,8.360000,78.600000,8.360000,-1.110268,3.187873,6.902990,25.274661,69.987129,-5.490913,12.970732,-32.584302
556,,0.107757,2.000000,8.360000,78.600000,8.360000,-1.112775,3.188514,6.904567,25.186434,73.835112,-4.957926,13.802763,-34.033013
557,,0.109273,2.000000,8.360000,78.600000,8.360000,-1.115282,3.189155,6.906143,25.083372,77.278971,-4.393552,14.547413,-35.329577
